"","ID","Age","Height","Weight","Year","cluster"
"8357",4604,25,184,84,1964,1
"8430",4644,29,167,66,1972,2
"8517",4685,24,172,62,1998,2
"8518",4685,24,172,62,1998,2
"8522",4685,28,172,62,2002,2
"8525",4685,32,172,62,2006,4
"8526",4686,23,174,67,1992,3
"8528",4686,25,174,67,1994,3
"8614",4728,30,182,86,1992,1
"8635",4742,22,180,80,2006,3
"8636",4742,26,180,80,2010,3
"8637",4742,30,180,80,2014,4
"8731",4799,24,164,50,2006,2
"8954",4920,25,180,71,1936,3
"8962",4924,22,187,88,1992,1
"9301",5117,26,178,77,2014,3
"9302",5117,26,178,77,2014,3
"9313",5125,21,180,85,1968,3
"9391",5156,20,165,62,1984,2
"9540",5232,22,175.539605950945,73.953388285543,1924,3
"9932",5430,21,180,71,1968,3
"9933",5430,25,180,71,1972,3
"9972",5451,19,163,50,2010,2
"10059",5496,24,175,69,1976,3
"10066",5499,22,175.539605950945,73.953388285543,1988,3
"10203",5579,21,157,57,1960,2
"10290",5630,25,179,79,1988,3
"10327",5655,24,184,72,1964,3
"10342",5664,28,175.539605950945,73.953388285543,1952,4
"10392",5692,17,172,71,2006,3
"10453",5714,24,180,84,1994,3
"10658",5826,23,175.539605950945,73.953388285543,1952,3
"10716",5857,26,178,74,1960,3
"10739",5875,28,180,97,1998,1
"10802",5908,27,172,65,1994,2
"10804",5908,31,172,65,1998,4
"10809",5910,20,188,94,1994,1
"10834",5918,23,175.539605950945,73.953388285543,1952,3
"10855",5932,26,175.539605950945,73.953388285543,1924,3
"10874",5937,26,165,54,1968,2
"10875",5937,26,165,54,1968,2
"10878",5937,30,165,54,1972,2
"10907",5956,29,179,86,1976,1
"10908",5957,22,178,77,1992,3
"10940",5977,24,186,88,1976,1
"10947",5980,29,181,72,2002,4
"10968",5993,23,183,75,1980,3
"10970",5993,23,183,75,1980,3
"10979",5994,23,170,56,1980,2
"10980",5994,27,170,56,1984,2
"10982",5994,27,170,56,1984,2
"11000",6007,24,178,75,1964,3
"11156",6092,28,177,68,2002,4
"11159",6095,25,165,61,1976,2
"11160",6095,25,165,61,1976,2
"11161",6095,25,165,61,1976,2
"11162",6095,25,165,61,1976,2
"11300",6177,30,185,86,2006,1
"11367",6217,23,187,81,1998,1
"11725",6398,29,174,69,1968,4
"11726",6398,29,174,69,1968,4
"11727",6398,33,174,69,1972,4
"11728",6398,33,174,69,1972,4
"11841",6458,35,170,73,1956,4
"11874",6467,20,181,83,1976,3
"11888",6476,22,182,91,1976,1
"12007",6543,23,174,70,1968,3
"12019",6546,26,184,90,1976,1
"12020",6546,30,184,90,1980,1
"12110",6587,25,190,100,2010,1
"12137",6601,25,191,93,2006,1
"12145",6604,25,175.539605950945,73.953388285543,1960,3
"12158",6611,26,185,95,2014,1
"12159",6612,31,185,89,2010,1
"12279",6671,26,188,90,1968,1
"12281",6671,30,188,90,1972,1
"12293",6674,30,175.539605950945,73.953388285543,1932,4
"12560",6841,21,162,55,2002,2
"12562",6841,29,162,55,2010,2
"12601",6868,30,175.539605950945,73.953388285543,1936,4
"12602",6868,30,175.539605950945,73.953388285543,1936,4
"12609",6871,21,164,61,1994,2
"12647",6887,26,167,73,1998,2
"12648",6887,30,167,73,2002,4
"12736",6930,26,172,58,2006,2
"12741",6930,30,172,58,2010,4
"12746",6931,29,176,67,1994,4
"12786",6956,16,159,43,1994,2
"12892",7011,23,185,89,1980,1
"12910",7022,21,170,61,1998,2
"12911",7022,25,170,61,2002,2
"12998",7068,25,167,65,2002,2
"13009",7075,43,170,73,2006,4
"13074",7112,19,180,73,1998,3
"13283",7209,27,178,89,1980,1
"13420",7285,20,163,63,1932,2
"13461",7304,23,180,73.953388285543,1928,3
"13462",7304,23,180,73.953388285543,1928,3
"13465",7304,27,180,73.953388285543,1932,3
"13466",7304,31,180,73.953388285543,1936,4
"13467",7304,31,180,73.953388285543,1936,4
"13468",7304,31,180,73.953388285543,1936,4
"13469",7304,31,180,73.953388285543,1936,4
"13980",7560,23,175.539605950945,73.953388285543,1948,3
"14220",7673,30,172,65,2006,4
"14513",7811,27,186,60,2010,3
"14514",7811,31,186,60,2014,4
"14663",7904,18,190,91,2014,1
"14714",7933,25,165,65,1992,2
"14726",7942,28,178,77,1980,3
"14912",8050,36,190,95,2002,1
"15252",8235,38,165,58,2010,4
"15257",8239,23,184,82,1964,1
"15339",8282,27,175.539605950945,73.953388285543,1948,3
"15365",8295,41,185,84,2002,4
"15533",8367,25,175,75,1994,3
"15569",8383,28,168,62,2006,2
"15789",8514,24,176,70,2010,3
"15926",8585,24,171,67,1984,3
"16208",8712,28,181,73,2006,3
"16212",8712,32,181,73,2010,4
"16215",8712,32,181,73,2010,4
"16237",8725,25,167,61,2002,2
"16238",8725,25,167,61,2002,2
"16240",8725,29,167,61,2006,2
"16262",8734,22,175.539605950945,73.953388285543,1948,3
"16267",8737,26,189,86,1960,1
"16281",8748,28,181,100,2014,1
"16389",8801,18,176,74,1960,3
"16390",8801,21,176,74,1964,3
"16448",8827,24,191,91,1992,1
"16486",8847,29,160,57,2010,2
"16496",8849,31,167,60,2006,4
"16500",8849,31,167,60,2006,4
"16720",8967,21,175,70,1994,3
"16727",8970,22,175,70,1976,3
"16729",8970,22,175,70,1976,3
"16731",8970,26,175,70,1980,3
"16888",9048,25,172,73.953388285543,2014,3
"17028",9118,30,166,54,2006,2
"17032",9118,34,166,54,2010,4
"17083",9142,24,175,66,2002,3
"17091",9150,26,158,48,1992,2
"17137",9170,20,183,73.953388285543,1932,3
"17229",9217,20,173,59,1980,2
"17230",9217,20,173,59,1980,2
"17270",9231,21,172,73,2010,3
"17271",9231,21,172,73,2010,3
"17272",9231,21,172,73,2010,3
"17408",9276,21,173,77,1998,3
"17409",9276,21,173,77,1998,3
"17410",9276,25,173,77,2002,3
"17413",9276,29,173,77,2006,4
"17416",9278,22,161,54,1992,2
"17418",9278,24,161,54,1994,2
"17419",9278,24,161,54,1994,2
"17468",9306,23,181,80,1972,3
"17514",9334,27,175,62,2006,3
"17530",9344,22,175,67,1976,3
"17557",9352,34,175.539605950945,73.953388285543,1936,4
"17558",9352,34,175.539605950945,73.953388285543,1936,4
"17583",9371,21,186,84,2006,1
"17584",9371,25,186,84,2010,1
"17654",9399,23,177,67,1992,3
"17657",9399,25,177,67,1994,3
"17660",9399,29,177,67,1998,4
"17707",9420,20,169,70,1988,3
"17708",9420,24,169,70,1992,3
"17709",9420,26,169,70,1994,2
"17710",9420,30,169,70,1998,4
"17995",9561,21,167,52,2006,2
"18227",9669,22,170,66,2010,2
"18228",9669,26,170,66,2014,2
"18381",9747,23,158,45,1992,2
"18382",9747,23,158,45,1992,2
"18383",9747,23,158,45,1992,2
"18386",9747,25,158,45,1994,2
"18387",9747,25,158,45,1994,2
"18390",9747,29,158,45,1998,2
"18392",9747,29,158,45,1998,2
"18393",9747,33,158,45,2002,2
"18394",9747,33,158,45,2002,2
"18395",9747,33,158,45,2002,2
"18465",9776,21,173,78,1968,3
"18466",9777,21,183,86,1984,3
"18469",9778,28,160,46,1964,2
"18470",9778,32,160,46,1968,2
"18488",9789,26,172,58,1992,2
"18489",9789,26,172,58,1992,2
"18543",9817,22,178,74,1984,3
"18589",9833,21,188,91,1976,1
"18591",9833,21,188,91,1976,1
"18595",9833,25,188,91,1980,1
"18765",9946,21,181,82,1984,3
"18804",9967,24,172,70,1988,3
"19081",10095,38,175.539605950945,73.953388285543,1952,4
"19082",10095,38,175.539605950945,73.953388285543,1952,4
"19163",10142,24,189,94,2014,1
"19262",10199,26,180,81,1960,3
"19318",10229,23,175.539605950945,67,1932,3
"19400",10270,21,172,63,2014,2
"19402",10271,21,163,55,2014,2
"19403",10272,31,180,81,1976,4
"19404",10272,31,180,81,1976,4
"19405",10272,35,180,81,1980,4
"19406",10272,35,180,81,1980,4
"19433",10280,28,188,86,1998,1
"19635",10361,20,154,42,1998,2
"19636",10361,24,154,42,2002,2
"19661",10373,20,191,94,1998,1
"19663",10373,28,191,94,2006,1
"19778",10423,22,175.539605950945,73.953388285543,1952,3
"19796",10435,29,175.539605950945,73.953388285543,1924,4
"19839",10452,26,175.539605950945,73.953388285543,1936,3
"19844",10455,30,189,76,2010,1
"19866",10467,28,166,56,2010,2
"19869",10467,32,166,56,2014,2
"19870",10467,32,166,56,2014,2
"19873",10467,32,166,56,2014,2
"19879",10472,24,188,88,2010,1
"19880",10472,28,188,88,2014,1
"19896",10482,19,170,66,2002,2
"19932",10497,24,177,80,1980,3
"19933",10497,32,177,80,1988,4
"19936",10499,29,177,78,1994,4
"19951",10507,25,192,99,2014,1
"19973",10513,19,175.539605950945,73.953388285543,1928,3
"19983",10520,23,175.539605950945,73.953388285543,1952,3
"20017",10539,28,183,77,1998,1
"20026",10543,25,183,83,1988,1
"20027",10543,31,183,83,1994,1
"20045",10555,28,188,73,2014,1
"20046",10555,28,188,73,2014,1
"20049",10557,38,162,63,2002,4
"20250",10680,43,163,55,2010,4
"20340",10729,21,174,73,1976,3
"20393",10761,25,172,70,1980,3
"20403",10766,33,167,62,2010,4
"20556",10841,20,175.539605950945,73.953388285543,1924,3
"20719",10930,37,175,66,2014,4
"20850",10994,27,182,78,2014,1
"20881",11015,24,170,51,1984,2
"20882",11015,28,170,51,1988,2
"20938",11047,37,167,64,1998,4
"21051",11117,21,175.539605950945,73.953388285543,1980,3
"21284",11234,27,173,66,1972,3
"21285",11234,31,173,66,1976,4
"21397",11292,25,175.539605950945,73.953388285543,1948,3
"21434",11313,35,175.539605950945,73.953388285543,1948,4
"21451",11325,33,172,62,2002,4
