"","SLNO","Gender","AGE","CASTE","RELIGN","MTONGUE","OCCU","INCOME","Area","WRITE","READ","MATH","TOTAL","Gender_F","Gender_T","OCCU_A","OCCU_C","OCCU_U","OCCU_H","OCCU_B","OCCU_T","RELIGN_H","RELIGN_M","RELIGN_C","CASTE_OT","CASTE_SC","CASTE_ST","MTONGUE_T","MTONGUE_U","MTONGUE_K","MTONGUE_D","MTONGUE_H"
"878",3031,"T",35,"OT","H","T","A",4500,1.5,15,29,20,64,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"879",4208,"F",40,"OT","H","T","C",7500,0,20,28,26,74,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"880",1045,"F",29,"SC","H","T","C",6000,0,20,40,15,75,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"881",875,"F",31,"SC","H","T","C",3000,1,7,32,13,52,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"882",1131,"T",38,"OT","H","T","A",12000,0,15,23,9,47,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"883",4420,"F",37,"OT","H","T","C",5000,0,25,23,24,72,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"884",896,"F",38,"OT","H","T","C",4200,0,10,20,11,41,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"885",1451,"F",33,"SC","H","T","C",7000,0,16,34,17,67,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"886",1579,"F",22,"SC","H","T","C",2200,0,12,25,16,53,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"887",5243,"T",25,"OT","H","U","A",10000,2,11,17,17,45,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"888",4047,"F",45,"OT","H","T","C",2000,0,15,24,26,65,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"889",4725,"F",20,"OT","H","T","A",3000,0,12,21,12,45,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"890",590,"F",35,"OT","H","T","C",4500,0,11,32,22,65,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"891",5284,"T",28,"OT","H","U","A",8000,1,10,8,23,41,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"892",508,"F",21,"OT","H","T","C",4200,0,17,24,13,54,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"893",2787,"T",25,"ST","H","T","C",5000,0,8,16,11,35,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
"894",4172,"F",28,"OT","H","T","A",9500,2,6,16,11,33,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"895",4728,"F",19,"OT","H","T","A",4000,0,14,29,19,62,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"896",639,"F",24,"OT","H","T","C",3900,0,19,38,21,78,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"897",2348,"F",25,"SC","H","T","C",6500,0,12,34,12,58,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"898",1502,"F",35,"SC","H","T","C",3000,0,13,26,21,60,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"899",2415,"F",26,"OT","H","T","C",8200,0,5,24,9,38,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"900",3232,"T",18,"SC","H","T","C",6000,0,26,31,27,84,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"901",5087,"F",19,"OT","H","K","A",12000,2,18,31,16,65,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"902",3389,"T",27,"OT","H","T","C",2900,0,17,32,7,56,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"903",3180,"F",22,"OT","H","T","C",4000,0,20,33,18,71,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"904",628,"F",35,"OT","H","T","C",4000,0,17,28,17,62,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"905",2452,"F",32,"OT","H","T","C",8500,0,13,25,18,56,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"906",811,"F",25,"SC","H","T","C",5000,0,0,0,0,23,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"907",340,"F",22,"OT","H","T","C",9000,0,18,26,6,50,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"908",5394,"T",30,"SC","H","T","C",3000,0,14.5,23,15.5,53,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"909",1748,"T",24,"OT","H","T","C",3000,0,8,23,19,50,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"910",714,"F",28,"OT","H","T","C",3000,0,11,27,16,54,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"911",1199,"F",24,"SC","H","T","C",3700,0,13,35,18,66,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"912",1119,"T",37,"OT","H","T","C",6800,0,12,19,22,53,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"913",4125,"T",16,"SC","H","T","C",7000,0,12,24,22,58,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"914",2809,"F",35,"OT","H","T","C",5000,0,9,29,13,51,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"915",438,"F",32,"OT","H","T","C",4000,0,11,20,21.5,53,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"916",4414,"F",16,"OT","H","T","C",4000,0,19,26,21,66,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"917",5317,"F",26,"SC","H","T","C",3000,0,13,19,22,54,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"918",2843,"F",30,"SC","H","T","C",4000,1,16,32,21,69,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"919",5376,"F",27,"OT","H","T","A",12000,2,15,28,27,69,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"920",5661,"T",28,"OT","C","T","A",2000,2,10,24,20,54,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
"921",5787,"F",25,"OT","H","K","A",9000,2,20,19,24,63,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"922",432,"F",28,"OT","H","T","C",4000,0,0,0,0,23,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"923",3194,"F",29,"OT","H","T","A",12000,5,12,33,21,66,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"924",5685,"T",10,"ST","H","K","A",5100,0,13,27,17,57,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"925",3827,"T",17,"OT","H","U","C",4500,0,22,28,15,65,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"926",472,"T",29,"OT","H","T","C",4700,0,8,11,10.5,30,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"927",3587,"F",30,"OT","H","U","C",12000,3,17,27,21,65,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"928",2431,"F",32,"OT","H","T","C",8000,0,9,33,25,67,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"929",5025,"F",13,"SC","H","U","C",6000,0,12,24,22,58,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
